,Country,Year,Medal,Count
0,AFG,2008,Bronze,1
1,AFG,2012,Bronze,1
2,AHO,1988,Silver,1
3,ALG,1984,Bronze,2
4,ALG,1992,Bronze,1
5,ALG,1992,Gold,1
6,ALG,1996,Bronze,1
7,ALG,1996,Gold,2
8,ALG,2000,Bronze,3
9,ALG,2000,Gold,1
10,ALG,2000,Silver,1
11,ALG,2008,Bronze,1
12,ALG,2008,Silver,1
13,ALG,2012,Gold,1
14,ANZ,1908,Bronze,2
15,ANZ,1908,Gold,15
16,ANZ,1908,Silver,2
17,ANZ,1912,Bronze,3
18,ANZ,1912,Gold,5
19,ANZ,1912,Silver,2
20,ARG,1924,Bronze,2
21,ARG,1924,Gold,6
22,ARG,1924,Silver,3
23,ARG,1928,Bronze,5
24,ARG,1928,Gold,3
25,ARG,1928,Silver,24
26,ARG,1932,Gold,3
27,ARG,1932,Silver,1
28,ARG,1936,Bronze,4
29,ARG,1936,Gold,5
30,ARG,1936,Silver,2
31,ARG,1948,Bronze,1
32,ARG,1948,Gold,3
33,ARG,1948,Silver,8
34,ARG,1952,Bronze,2
35,ARG,1952,Gold,2
36,ARG,1952,Silver,2
37,ARG,1956,Bronze,1
38,ARG,1956,Silver,1
39,ARG,1960,Bronze,1
40,ARG,1960,Silver,3
41,ARG,1964,Silver,1
42,ARG,1968,Bronze,2
43,ARG,1972,Silver,1
44,ARG,1988,Bronze,12
45,ARG,1988,Silver,1
46,ARG,1992,Bronze,2
47,ARG,1996,Bronze,1
48,ARG,1996,Silver,19
49,ARG,2000,Bronze,3
50,ARG,2000,Silver,17
51,ARG,2004,Bronze,21
52,ARG,2004,Gold,26
53,ARG,2008,Bronze,31
54,ARG,2008,Gold,20
55,ARG,2012,Bronze,3
56,ARG,2012,Gold,1
57,ARG,2012,Silver,16
58,ARM,1996,Gold,1
59,ARM,1996,Silver,1
60,ARM,2000,Bronze,1
61,ARM,2008,Bronze,6
62,ARM,2012,Bronze,1
63,ARM,2012,Silver,1
64,AUS,1896,Gold,2
65,AUS,1900,Bronze,3
66,AUS,1900,Gold,2
67,AUS,1920,Bronze,1
68,AUS,1920,Silver,5
69,AUS,1924,Bronze,2
70,AUS,1924,Gold,3
71,AUS,1924,Silver,5
72,AUS,1928,Bronze,1
73,AUS,1928,Gold,1
74,AUS,1928,Silver,2
75,AUS,1932,Bronze,1
76,AUS,1932,Gold,3
77,AUS,1932,Silver,1
78,AUS,1936,Bronze,1
79,AUS,1948,Bronze,5
80,AUS,1948,Gold,2
81,AUS,1948,Silver,9
82,AUS,1952,Bronze,11
83,AUS,1952,Gold,7
84,AUS,1952,Silver,2
85,AUS,1956,Bronze,26
86,AUS,1956,Gold,23
87,AUS,1956,Silver,12
88,AUS,1960,Bronze,9
89,AUS,1960,Gold,10
90,AUS,1960,Silver,17
91,AUS,1964,Bronze,29
92,AUS,1964,Gold,8
93,AUS,1964,Silver,5
94,AUS,1968,Bronze,10
95,AUS,1968,Gold,5
96,AUS,1968,Silver,34
97,AUS,1972,Bronze,2
98,AUS,1972,Gold,11
99,AUS,1972,Silver,7
100,AUS,1976,Bronze,8
101,AUS,1976,Silver,16
102,AUS,1980,Bronze,5
103,AUS,1980,Gold,5
104,AUS,1980,Silver,2
105,AUS,1984,Bronze,29
106,AUS,1984,Gold,7
107,AUS,1984,Silver,14
108,AUS,1988,Bronze,10
109,AUS,1988,Gold,18
110,AUS,1988,Silver,6
111,AUS,1992,Bronze,16
112,AUS,1992,Gold,14
113,AUS,1992,Silver,27
114,AUS,1996,Bronze,84
115,AUS,1996,Gold,32
116,AUS,1996,Silver,16
117,AUS,2000,Bronze,54
118,AUS,2000,Gold,60
119,AUS,2000,Silver,69
120,AUS,2004,Bronze,30
121,AUS,2004,Gold,49
122,AUS,2004,Silver,78
123,AUS,2008,Bronze,76
124,AUS,2008,Gold,31
125,AUS,2008,Silver,42
126,AUS,2012,Bronze,59
127,AUS,2012,Gold,19
128,AUS,2012,Silver,36
129,AUT,1896,Bronze,2
130,AUT,1896,Gold,2
131,AUT,1896,Silver,1
132,AUT,1900,Bronze,3
133,AUT,1900,Silver,3
134,AUT,1904,Bronze,1
135,AUT,1908,Bronze,1
136,AUT,1912,Bronze,5
137,AUT,1912,Silver,9
138,AUT,1924,Bronze,1
139,AUT,1924,Silver,3
140,AUT,1928,Bronze,2
141,AUT,1928,Gold,2
142,AUT,1932,Bronze,3
143,AUT,1932,Gold,1
144,AUT,1932,Silver,1
145,AUT,1936,Bronze,4
146,AUT,1936,Gold,5
147,AUT,1936,Silver,41
148,AUT,1948,Bronze,3
149,AUT,1948,Gold,1
150,AUT,1952,Bronze,2
151,AUT,1952,Silver,1
152,AUT,1956,Bronze,4
153,AUT,1960,Gold,1
154,AUT,1960,Silver,2
155,AUT,1968,Bronze,3
156,AUT,1968,Silver,2
157,AUT,1972,Bronze,2
158,AUT,1972,Silver,1
159,AUT,1976,Bronze,1
160,AUT,1980,Bronze,1
161,AUT,1980,Gold,1
162,AUT,1980,Silver,3
163,AUT,1984,Bronze,1
164,AUT,1984,Gold,1
165,AUT,1984,Silver,1
166,AUT,1988,Gold,1
167,AUT,1992,Silver,6
168,AUT,1996,Bronze,2
169,AUT,1996,Silver,1
170,AUT,2000,Gold,3
171,AUT,2000,Silver,1
172,AUT,2004,Bronze,1
173,AUT,2004,Gold,3
174,AUT,2004,Silver,4
175,AUT,2008,Bronze,2
176,AUT,2008,Silver,1
177,AZE,1996,Silver,1
178,AZE,2000,Bronze,1
179,AZE,2000,Gold,2
180,AZE,2004,Bronze,4
181,AZE,2004,Gold,1
182,AZE,2008,Bronze,4
183,AZE,2008,Gold,1
184,AZE,2008,Silver,2
185,AZE,2012,Bronze,6
186,AZE,2012,Gold,2
187,AZE,2012,Silver,2
188,BAH,1956,Bronze,2
189,BAH,1964,Gold,2
190,BAH,1992,Bronze,1
191,BAH,1996,Silver,5
192,BAH,2000,Gold,6
193,BAH,2004,Bronze,1
194,BAH,2004,Gold,1
195,BAH,2008,Bronze,1
196,BAH,2008,Silver,4
197,BAH,2012,Gold,4
198,BAR,2000,Bronze,1
199,BDI,1996,Gold,1
200,BEL,1900,Bronze,15
201,BEL,1900,Gold,5
202,BEL,1900,Silver,19
203,BEL,1908,Bronze,6
204,BEL,1908,Gold,1
205,BEL,1908,Silver,24
206,BEL,1912,Bronze,9
207,BEL,1912,Gold,9
208,BEL,1912,Silver,1
209,BEL,1920,Bronze,65
210,BEL,1920,Gold,57
211,BEL,1920,Silver,66
212,BEL,1924,Bronze,6
213,BEL,1924,Gold,3
214,BEL,1924,Silver,29
215,BEL,1928,Bronze,4
216,BEL,1928,Silver,1
217,BEL,1936,Bronze,12
218,BEL,1948,Bronze,8
219,BEL,1948,Gold,4
220,BEL,1948,Silver,2
221,BEL,1952,Gold,4
222,BEL,1952,Silver,3
223,BEL,1956,Silver,2
224,BEL,1960,Bronze,2
225,BEL,1960,Silver,2
226,BEL,1964,Bronze,1
227,BEL,1964,Gold,2
228,BEL,1968,Bronze,2
229,BEL,1968,Silver,1
230,BEL,1972,Silver,2
231,BEL,1976,Bronze,6
232,BEL,1976,Silver,3
233,BEL,1980,Gold,1
234,BEL,1984,Bronze,2
235,BEL,1984,Gold,1
236,BEL,1984,Silver,2
